date,output,total_income_support
2021-08-02,[location_key=US_AZ],1.0
2021-08-02,[location_key=US_AZ],1.0
2021-08-02,[location_key=US_AZ],1.0
2021-08-02,[location_key=US_AZ],1.0
2021-08-02,[location_key=US_AZ],1.0
2021-08-02,[location_key=US_AZ],1.0
2021-08-02,[location_key=US_AZ],1.0
2021-08-02,"[location_key=US_CA,school_closing=1]",1.0
2021-08-02,"[location_key=US_CA,school_closing=1]",1.0
2021-08-02,"[location_key=US_CA,school_closing=2]",1.0
2021-08-02,"[location_key=US_CA,school_closing=2]",1.0
2021-08-02,"[location_key=US_CA,school_closing=2]",1.0
2021-08-02,"[location_key=US_CA,school_closing=2]",1.0
2021-08-02,"[location_key=US_CA,school_closing=2]",1.0
2021-08-02,[location_key=US_CA],1.0
2021-08-02,[location_key=US_CA],1.0
2021-08-02,[location_key=US_CA],1.0
2021-08-02,[location_key=US_CA],1.0
2021-08-02,[location_key=US_CA],1.0
2021-08-02,[location_key=US_CA],1.0
2021-08-02,[location_key=US_CA],1.0
2021-08-02,"[location_key=US_CO,school_closing=1]",1.0
2021-08-02,"[location_key=US_CO,school_closing=1]",1.0
2021-08-02,"[location_key=US_CO,school_closing=1]",1.0
2021-08-02,"[location_key=US_CO,school_closing=1]",1.0
2021-08-02,"[location_key=US_CO,school_closing=1]",1.0
2021-08-02,"[location_key=US_CO,school_closing=1]",1.0
2021-08-02,"[location_key=US_CO,school_closing=1]",1.0
2021-08-02,[location_key=US_CO],1.0
2021-08-02,[location_key=US_CO],1.0
2021-08-02,[location_key=US_CO],1.0
2021-08-02,[location_key=US_CO],1.0
2021-08-02,[location_key=US_CO],1.0
2021-08-02,[location_key=US_CO],1.0
2021-08-02,[location_key=US_CO],1.0
2021-08-02,"[location_key=US_CT,school_closing=0]",1.0
2021-08-02,"[location_key=US_CT,school_closing=0]",1.0
2021-08-02,"[location_key=US_CT,school_closing=0]",1.0
2021-08-02,"[location_key=US_CT,school_closing=0]",1.0
2021-08-02,"[location_key=US_CT,school_closing=0]",1.0
2021-08-02,"[location_key=US_CT,school_closing=0]",1.0
2021-08-02,"[location_key=US_CT,school_closing=0]",1.0
2021-08-02,[location_key=US_CT],1.0
2021-08-02,[location_key=US_CT],1.0
2021-08-02,[location_key=US_CT],1.0
2021-08-02,[location_key=US_CT],1.0
2021-08-02,[location_key=US_CT],1.0
2021-08-02,[location_key=US_CT],1.0
2021-08-02,[location_key=US_CT],1.0
2021-08-02,"[location_key=US_DC,school_closing=1]",1.0
2021-08-02,"[location_key=US_DC,school_closing=1]",1.0
2021-08-02,"[location_key=US_DC,school_closing=1]",1.0
2021-08-02,"[location_key=US_DC,school_closing=1]",1.0
2021-08-02,"[location_key=US_DC,school_closing=1]",1.0
2021-08-02,"[location_key=US_DC,school_closing=1]",1.0
2021-08-02,"[location_key=US_DC,school_closing=1]",1.0
2021-08-02,[location_key=US_DC],1.0
2021-08-02,[location_key=US_DC],1.0
2021-08-02,[location_key=US_DC],1.0
2021-08-02,[location_key=US_DC],1.0
2021-08-02,[location_key=US_DC],1.0
2021-08-02,[location_key=US_DC],1.0
2021-08-02,[location_key=US_DC],1.0
2021-08-02,"[location_key=US_DE,school_closing=1]",1.0
2021-08-02,"[location_key=US_DE,school_closing=1]",1.0
2021-08-02,"[location_key=US_DE,school_closing=2]",1.0
2021-08-02,"[location_key=US_DE,school_closing=2]",1.0
2021-08-02,"[location_key=US_DE,school_closing=2]",1.0
2021-08-02,"[location_key=US_DE,school_closing=2]",1.0
2021-08-02,"[location_key=US_DE,school_closing=2]",1.0
2021-08-02,[location_key=US_DE],1.0
2021-08-02,[location_key=US_DE],1.0
